CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python profiles/memory/search.py
MEM 12.703125 1700466738.3801
MEM 4.375000 1700466738.4930
MEM 12.718750 1700466738.7029
MEM 6.156250 1700466738.8414
MEM 3.875000 1700466738.9628
MEM 5.937500 1700466739.0814
MEM 17.203125 1700466739.2005
MEM 8.375000 1700466739.3145
MEM 8.890625 1700466739.4437
MEM 4.562500 1700466739.5577
MEM 11.312500 1700466739.6657
MEM 5.578125 1700466739.8120
MEM 8.734375 1700466739.9313
MEM 5.781250 1700466740.0823
MEM 14.078125 1700466740.1939
MEM 16.031250 1700466740.3100
MEM 11.734375 1700466740.4361
MEM 6.078125 1700466740.5523
MEM 8.640625 1700466740.6616
MEM 20.250000 1700466740.7691
MEM 6.156250 1700466740.8734
MEM 13.468750 1700466740.9795
MEM 42.000000 1700466741.0819
MEM 49.671875 1700466741.1872
MEM 57.937500 1700466741.2913
MEM 71.203125 1700466741.3961
MEM 96.625000 1700466741.5013
MEM 106.937500 1700466741.6055
MEM 131.921875 1700466741.7106
MEM 150.000000 1700466741.8157
MEM 173.812500 1700466741.9204
MEM 246.812500 1700466742.0221
MEM 324.046875 1700466742.1273
MEM 293.062500 1700466742.2285
MEM 378.515625 1700466742.3338
MEM 392.484375 1700466742.4389
MEM 404.218750 1700466742.5440
MEM 419.609375 1700466742.6462
MEM 434.953125 1700466742.7513
MEM 450.296875 1700466742.8542
MEM 465.015625 1700466742.9593
MEM 484.734375 1700466743.0644
MEM 495.718750 1700466743.1695
MEM 511.078125 1700466743.2746
MEM 536.406250 1700466743.3798
MEM 560.703125 1700466743.4815
MEM 590.031250 1700466743.5866
MEM 611.656250 1700466743.6917
MEM 636.546875 1700466743.7968
MEM 661.046875 1700466743.9019
MEM 684.609375 1700466744.0061
MEM 803.968750 1700466744.1064
MEM 849.750000 1700466744.2115
MEM 898.500000 1700466744.3145
MEM 958.921875 1700466744.4196
MEM 1009.750000 1700466744.5248
MEM 1041.171875 1700466744.6256
MEM 1110.578125 1700466744.7281
MEM 1143.984375 1700466744.8333
MEM 1163.859375 1700466744.9368
MEM 1195.109375 1700466745.0419
MEM 1142.953125 1700466745.1471
MEM 1156.953125 1700466745.2522
MEM 1174.546875 1700466745.3573
MEM 1141.828125 1700466745.4625
MEM 1162.625000 1700466745.5676
MEM 1192.843750 1700466745.6727
