CMDLINE /Users/bear/Documents/GitHub/pyoniverse/pyoniverse-search-engine/venv/bin/python search.py
MEM 820.750000 1700471639.0828
MEM 821.093750 1700471639.1879
MEM 822.343750 1700471639.2893
MEM 824.187500 1700471639.3944
MEM 824.765625 1700471639.4976
MEM 825.187500 1700471639.6028
MEM 825.343750 1700471639.7064
MEM 825.625000 1700471639.8115
MEM 1005.484375 1700471639.9161
MEM 1133.359375 1700471640.0213
MEM 1162.250000 1700471640.1226
MEM 1164.046875 1700471640.2277
MEM 1195.187500 1700471640.3308
MEM 1358.000000 1700471640.4360
MEM 1358.000000 1700471640.5393
MEM 1358.031250 1700471640.6444
MEM 1410.375000 1700471640.7495
MEM 1527.812500 1700471640.8545
MEM 1665.062500 1700471640.9582
MEM 1698.328125 1700471641.0633
MEM 1685.015625 1700471641.1685
MEM 1685.750000 1700471641.2736
MEM 1685.750000 1700471641.3788
MEM 1686.125000 1700471641.4840
MEM 1686.125000 1700471641.5846
MEM 1686.125000 1700471641.6897
MEM 1694.000000 1700471641.7949
MEM 1694.203125 1700471641.9001
MEM 1699.578125 1700471642.0053
MEM 1699.703125 1700471642.1104
MEM 1699.703125 1700471642.2156
MEM 1688.421875 1700471642.3207
MEM 1688.421875 1700471642.4259
MEM 1688.578125 1700471642.5311
MEM 1688.578125 1700471642.6362
MEM 1688.609375 1700471642.7414
MEM 1688.687500 1700471642.8465
MEM 864.234375 1700471642.9517
MEM 857.328125 1700471643.0547
MEM 853.359375 1700471643.1598
MEM 883.265625 1700471643.2650
